CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,CrimeTime,PoliceStationID,CrimeMajorHeadID,CrimeMinorHeadID,CrimeType,IPCSectionID,CaseStatusID,GravityOffenceID,CrimeSeverity,latitude,longitude,Area,BriefFacts
1019,104430006202600019,202600019,2025-03-23,09:45,5,6,14,Abduction,366,3,1,CRITICAL,12.98705019748024,77.63269470239123,Indiranagar,Abduction reported at Indiranagar
1020,104430006202600020,202600020,2025-10-16,01:15,4,1,2,Assault,307,1,2,HIGH,12.92675411986585,77.58931029989778,Jayanagar,Assault reported at Jayanagar
1021,104430006202600021,202600021,2022-02-26,05:30,6,2,6,Burglary,380,2,2,MEDIUM,13.037462157333133,77.59221433972277,Hebbal,Burglary reported at Hebbal
1022,104430006202600022,202600022,2022-08-06,00:30,5,5,12,Drug Trafficking,420,2,2,HIGH,12.98419309326459,77.63943471117707,Indiranagar,Drug Trafficking reported at Indiranagar
1023,104430006202600023,202600023,2024-02-15,07:30,3,4,9,Cyber Fraud,420,2,1,LOW,12.921841014879885,77.63325746263244,Koramangala,Cyber Fraud reported at Koramangala
1024,104430006202600024,202600024,2022-08-21,22:30,3,5,11,Drug Peddling,420,4,2,HIGH,12.925753364305388,77.62379031105978,Koramangala,Drug Peddling reported at Koramangala
1025,104430006202600025,202600025,2025-12-10,08:45,5,4,9,Cyber Fraud,420,4,1,LOW,12.974410328606572,77.63423429860059,Indiranagar,Cyber Fraud reported at Indiranagar
1026,104430006202600026,202600026,2024-03-26,02:15,1,6,14,Abduction,366,4,2,CRITICAL,12.974776163605823,77.74335232351524,Whitefield,Abduction reported at Whitefield
1027,104430006202600027,202600027,2023-08-26,09:45,2,4,10,Online Scam,420,1,1,LOW,12.980938895780636,77.60307999733607,MG Road,Online Scam reported at MG Road
1028,104430006202600028,202600028,2025-09-11,19:30,5,4,10,Online Scam,420,1,2,LOW,12.975375670984636,77.64600000218087,Indiranagar,Online Scam reported at Indiranagar
1029,104430006202600029,202600029,2022-03-29,22:00,1,3,8,Harassment,376,3,1,MEDIUM,12.976735569973732,77.74972046359095,Whitefield,Harassment reported at Whitefield
1030,104430006202600030,202600030,2023-03-27,15:15,3,6,13,Kidnapping,363,1,2,CRITICAL,12.928205768104183,77.6199287279158,Koramangala,Kidnapping reported at Koramangala
1031,104430006202600031,202600031,2026-01-22,04:00,5,2,7,Vehicle Theft,379,3,2,MEDIUM,12.97008723022491,77.64626296472123,Indiranagar,Vehicle Theft reported at Indiranagar
1032,104430006202600032,202600032,2024-04-15,22:30,1,2,7,Vehicle Theft,379,1,1,MEDIUM,12.971351547047322,77.75282422071528,Whitefield,Vehicle Theft reported at Whitefield
1033,104430006202600033,202600033,2023-02-03,22:30,5,5,11,Drug Peddling,420,4,1,HIGH,12.974205258754635,77.63868367407247,Indiranagar,Drug Peddling reported at Indiranagar
1034,104430006202600034,202600034,2025-02-21,11:45,5,6,13,Kidnapping,363,1,1,CRITICAL,12.97521137580193,77.63815431848461,Indiranagar,Kidnapping reported at Indiranagar
1035,104430006202600035,202600035,2025-12-18,11:00,3,3,8,Harassment,376,3,2,MEDIUM,12.934892140232321,77.63544362266988,Koramangala,Harassment reported at Koramangala
1036,104430006202600036,202600036,2023-09-08,21:00,6,4,9,Cyber Fraud,420,3,2,LOW,13.041065147241444,77.60675435920945,Hebbal,Cyber Fraud reported at Hebbal
1037,104430006202600037,202600037,2024-05-14,10:15,6,6,13,Kidnapping,363,2,2,CRITICAL,13.029458927134923,77.59650108595226,Hebbal,Kidnapping reported at Hebbal
1038,104430006202600038,202600038,2024-06-26,13:00,4,4,10,Online Scam,420,1,2,LOW,12.923173503734843,77.57914707692908,Jayanagar,Online Scam reported at Jayanagar
1039,104430006202600039,202600039,2025-01-22,00:30,1,2,4,Theft,379,1,2,LOW,12.960586358439334,77.74434959736178,Whitefield,Theft reported at Whitefield
1040,104430006202600040,202600040,2024-03-04,01:30,1,4,10,Online Scam,420,2,2,LOW,12.968592558196589,77.74152690461254,Whitefield,Online Scam reported at Whitefield
